tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
wesley g iphone hr tweeting riseaustin dead need upgrade plugin station sxsw,iphone,0
jessedee know fludapp awesome ipadiphone app youll likely appreciate design also theyre giving free t sxsw,ipad iphone app,2
swonderlin wait ipad also sale sxsw,ipad,2
sxsw hope year festival isnt crashy year iphone app sxsw,ipad iphone app,0
sxtxstate great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,google,2
teachntech new ipad apps speechtherapy communication showcased sxsw conference httphtlynm iear edchat asd,,1
,,1
sxsw starting ctia around corner googleio hop skip jump good time android fan,android,2
beautifully smart simple idea rt madebymany thenextweb wrote hollergram ipad app sxsw httpbitlyieavob,ipad iphone app,2
counting day sxsw plus strong canadian dollar mean stock apple gear,apple,2
excited meet samsungmobileus sxsw show sprint galaxy still running android fail,android,2
find amp start impromptu party sxsw hurricaneparty httpbitlygvlrin cant wait til android app come,android app,2
foursquare ups game time sxsw httpjmpgrnpk still prefer gowalla far best looking android app date,android app,2
got ta love sxsw google calendar featuring top party show case check rt hamsandwich via ischafer gthttpbitlyaxzwxb,google product service,2
great sxsw ipad app madebymany httptinyurlcomnqvl,ipad iphone app,2
haha awesomely rad ipad app madebymany httpbitlyhtdfim hollergram sxsw,ipad iphone app,2
holler gram ipad itunes app store httptcokfnfq via marcisken sxsw,,1
noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,iphone,0
added sxsw flight planely matching people planesairports also downloaded klm iphone app nicely done,ipad iphone app,2
must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram httptcoggzypv,ipad iphone app,2
need buy ipad im austin sxsw sure ill need q austin apple store,ipad,2
oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website,ipad iphone app,2
okay really yay new foursquare android app kthxbai sxsw,android app,2
photo installed sxsw iphone app really nice httptumblrcomxtpiav,ipad iphone app,2
really enjoying change gowalla android looking forward seeing else amp foursquare sleeve sxsw,android app,2
rt laurieshook im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,ipad,2
rt haha awesomely rad ipad app madebymany httpbitlyhtdfim hollergram sxsw via michaelpiliero,ipad iphone app,2
someone started austin partnerhub group google group presxsw great idea,google product service,2
new sq look like going rock update iphone android push tonight httpbitlyetsbzk sxsw keepaustinweird,ipad iphone app,2
right gowalla app android sweeeeet nice job team sxsw,android app,2
smart madebymany hollergram ipad app sxsw httptcoaxvwc may leave vuvuzela home,ipad iphone app,2
must app ipad going sxsw httpitunesapplecomusapphollergramidmt hollergram,ipad iphone app,2
attn sxsw frineds mention register gdgtlive see cobra iradar android link,,1
anyone sxsw want sell old ipad,,1
anyone sxsw bought new ipad want sell older ipad,,1
sxsw oooh rt mention google launch major new social network called circle possibly today link,,1
best rt mention ha first line ipad sxsw quotpopupquot apple store event planner eventprofs pcma engage,ipad,2
spin play new concept music discovery ipad mention amp spincom link itunes sxsw mention,,1
mention false alarm google circle coming nowand probably ever link google circle social sxsw,google,0
vatornews google apple force print medium evolve link sxsw,,1
mention great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad,apple,2
hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether youre getting friend link,,1
hey sxsw long think take u make iphone case answer mention using zazzlesxsw well make one,,1
mashable ipad take sxsw video ipad sxsw gadget link,,1
ipad rt mention new ubersocial iphone app store includes uberguide sxsw sponsored link,,1
ipad smartcover open instant access waited get one link apple sxsw,ipad iphone app,2
hooray rt mention apple opening popup store austin sxsw mention link,apple,2
orly mention google set launch new social network circle today sxsw,,1
wooooo mention apple store downtown austin open til midnight sxsw,apple,2
khoi vinh mention say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,,1
mention link lt help forward doc anonymous account techiesamp ppl help u jam libya sxsw,,1
link edchat musedchat sxsw sxswi classical newtwitter,,1
mention mention locationbased fast fun future link via mention sxsw,,1
mention mention google connect digital amp physical world mobile link sxsw mention,,1
mention mention talking link google effort allow user open system bettercloud sxsw,google,2
link rt mention quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw,,1
link rt mention st stop sxsw chaos amp mention hunt austin java get spy game chance win ipad,ipad,2
link rt mention sxsw check holler gram ipad app mention link,,1
mention mention amp mention fun google pic sxsw link,,1
quotvia mention link guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot,,1
futuremf mention link spec recipe web google search link sxsw,,1
omfg rt mention heard apple popup store downtown austin pic already gowalla link sxsw ipad,apple,2
smile rt mention think apple quotpopup storequot austin would lot interesting actually know popped sxsw,apple,1
agree rt mention wait fiona apple town somebody kidnap put recording studio record new album sxsw,,1
sxsw mention mention wan na buy drink pm fado th link join u,,1
attending mention ipad design headache sxsw link,ipad,0
check mention mention amp mention line ipad austin power sxswi sxsw link,ipad,2
check rt mention giving added value location based service need battle checkin fatigue google pnid sxsw,,1
chilcott mention sxsw stand talking blogger staff late win competition best tweet mentioning mention tshirt,,1
rt mention come party w google tonight sxsw link band food art ice cream nifty interactive map,google,2
gowallas mention promise launch foursquare checkin groupon rewardstype service sxsw finger crossed link,,1
haha rt mention sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,,1
holla rt mention google party best ever get butt sxsw,google,2
love mention iphone case sxsw cant get phone fail,iphone,2
worship mention link sxsw,,1
ipad rt mention droid amp mac rt mention agnerd confession using laptop ipad amp blackberry follow sxsw,,1
launching mention sxsw rt mention mention denies social network called circle debut today despite report link,,1
new post mention iphone app make easy connect social network people meet link sxsw,ipad iphone app,2
nice mention iphone app behaving today crash yesterday ridiculous sxsw,ipad iphone app,2
nice rt mention apple opening popup store ipad launch downtown austin sxsw link via mention,,1
nice rt mention hey apple fan get peek space thats slated popup sxsw apple store tomorrow link,apple,2
one thing mention great get great earth face google company love sxsw sxwsi,google,2
stay tune mention showcase hckers link sxsw,,1
thank mention mention touchingstories preso sxsw here deck link,,1
thank mention awesome sxsw party link,,1
thanks rt mention youre trying contact friend family japan mention created person finder link sxsw,,1
thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh,ipad iphone app,2
thanks mention publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,,1
mention sxsw provide iphone charger ive changed mind going next year,iphone,0
wonder mention amp mention apple flashmob tcrnchfcsj sxsw ipad,,1
wonder mention putting tip mention api sxsw suxsw,,1
xmas rt mention shiny new mention mention mention apps new garyvee book popup ipad store sxsw christmas nerd,ipad,2
yai rt mention new ubersocial iphone app store includes uberguide sxsw sponsored cont link,iphone,2
yes rt mention hey mention ive got another gem gt free mention sxsw link sxsw,,1
fast fun amp future mention google presenting sxsw search local mobile,google,2
gsdampm amp google industry party tonight mention see u link sxsw austin welivehere gsdm,,1
new buzz quotmention google launch major new social network called circle possibly today link rt mention sxswquot,,1
headline quotipad musthave gadget sxswquot hmm could seen one coming link gadget,ipad,2
mention quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy,google,2
mention quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy via mention,,1
mention quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw,google,2
attending quotleft brain search google right brain search xquot bettersearch talking future search engine sxsw,,1
hp open quotmobile parkquot amp content incubator sxsw link apple construct quotpopupquot store link,,1
kawasaki quotnot c lewis level reasoning apple continued existence evidence existence godquot bawling sxsw,apple,2
kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment,,1
kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment via mention,apple,2
unboxing apple sxsw mention apple store sxsw link,,1
sxsw apple ipad great thought w japan apac region dealing w earthquake amp tsunami trauma sxswi,ipad,2
sxsw apple school marketing expert sxsw cnet blog link,,1
sxsw apple school marketing expert link,apple,2
sxsw apple school marketing expert link,,1
